Ouverture de la DataFrame...
On ne garde que les données du centre...
On sépare par la Seine
Clusterisation...
Sauvegarde sur la carte...
Terminé !
         46068305 function calls (46035909 primitive calls) in 57.801 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       58    0.000    0.000    0.000    0.000 base.py:561(<lambda>)
       12    0.000    0.000    0.000    0.000 base.py:5648(_validate_join_method)
       16    0.000    0.000    0.001    0.000 base.py:5653(default_index)
      709    0.002    0.000    0.005    0.000 base.py:5659(maybe_extract_name)
     2441    0.002    0.000    0.002    0.000 base.py:567(__len__)
       55    0.000    0.000    0.001    0.000 base.py:5675(_maybe_cast_with_dtype)
        3    0.000    0.000    0.000    0.000 base.py:569(_is_builtin_func)
       53    0.000    0.000    0.002    0.000 base.py:5729(_maybe_cast_data_without_dtype)
        2    0.000    0.000    0.000    0.000 base.py:573(__array__)
      217    0.000    0.000    0.000    0.000 base.py:590(dtype)
       20    0.000    0.000    0.001    0.000 base.py:613(view)
        3    0.000    0.000    0.001    0.000 base.py:625(astype)
